pr_gene_id,pr_gene_symbol,pr_gene_title,pr_is_lm,pr_is_bing
3775,KCNK1,"potassium channel, two pore domain subfamily K, member 1",1,1
993,CDC25A,cell division cycle 25A,1,1
9851,KIAA0753,KIAA0753,1,1
4690,NCK1,NCK adaptor protein 1,1,1
6804,STX1A,syntaxin 1A,1,1
5743,PTGS2,prostaglandin-endoperoxide synthase 2,1,1
5607,MAP2K5,mitogen-activated protein kinase kinase 5,1,1
9854,C2CD2L,C2CD2 like,1,1
9712,USP6NL,USP6 N-terminal like,1,1
355,FAS,Fas cell surface death receptor,1,1
5498,PPOX,protoporphyrinogen oxidase,1,1
10329,TMEM5,transmembrane protein 5,1,1
10845,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit,1,1
9183,ZW10,zw10 kinetochore protein,1,1
9833,MELK,maternal embryonic leucine zipper kinase,1,1
899,CCNF,cyclin F,1,1
5883,RAD9A,RAD9 checkpoint clamp component A,1,1
10732,TCFL5,transcription factor-like 5 (basic helix-loop-helix),1,1
10782,ZNF274,zinc finger protein 274,1,1
3385,ICAM3,intercellular adhesion molecule 3,1,1
1662,DDX10,DEAD-box helicase 10,1,1
79090,TRAPPC6A,trafficking protein particle complex 6A,1,1
8851,CDK5R1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)",1,1
22809,ATF5,activating transcription factor 5,1,1
6777,STAT5B,signal transducer and activator of transcription 5B,1,1
9134,CCNE2,cyclin E2,1,1
11157,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",1,1
10320,IKZF1,IKAROS family zinc finger 1,1,1
1062,CENPE,centromere protein E,1,1
3815,KIT,KIT proto-oncogene receptor tyrosine kinase,1,1
3682,ITGAE,integrin subunit alpha E,1,1
3553,IL1B,interleukin 1 beta,1,1
4998,ORC1,origin recognition complex subunit 1,1,1
10046,MAMLD1,mastermind like domain containing 1,1,1
6443,SGCB,sarcoglycan beta,1,1
5891,MOK,MOK protein kinase,1,1
958,CD40,CD40 molecule,1,1
8800,PEX11A,peroxisomal biogenesis factor 11 alpha,1,1
1212,CLTB,clathrin light chain B,1,1
965,CD58,CD58 molecule,1,1
5357,PLS1,plastin 1,1,1
5110,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase,1,1
5971,RELB,v-rel avian reticuloendotheliosis viral oncogene homolog B,1,1
2769,GNA15,"guanine nucleotide binding protein (G protein), alpha 15 (Gq class)",1,1
8821,INPP4B,inositol polyphosphate-4-phosphatase type II B,1,1
874,CBR3,carbonyl reductase 3,1,1
1111,CHEK1,checkpoint kinase 1,1,1
4088,SMAD3,SMAD family member 3,1,1
1605,DAG1,dystroglycan 1,1,1
5255,PHKA1,"phosphorylase kinase, alpha 1 (muscle)",1,1
4303,FOXO4,forkhead box O4,1,1
9488,PIGB,phosphatidylinositol glycan anchor biosynthesis class B,1,1
5154,PDGFA,platelet derived growth factor subunit A,1,1
843,CASP10,caspase 10,1,1
2690,GHR,growth hormone receptor,1,1
727,C5,complement component 5,1,1
695,BTK,Bruton tyrosine kinase,1,1
10557,RPP38,ribonuclease P/MRP 38kDa subunit,1,1
51375,SNX7,sorting nexin 7,1,1
4846,NOS3,nitric oxide synthase 3,1,1
57147,SCYL3,"SCY1-like, kinase-like 3",1,1
211,ALAS1,5'-aminolevulinate synthase 1,1,1
9143,SYNGR3,synaptogyrin 3,1,1
670,BPHL,biphenyl hydrolase-like (serine hydrolase),1,1
11232,POLG2,"polymerase (DNA directed), gamma 2, accessory subunit",1,1
9221,NOLC1,nucleolar and coiled-body phosphoprotein 1,1,1
4776,NFATC4,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4",1,1
8900,CCNA1,cyclin A1,1,1
5427,POLE2,"polymerase (DNA directed), epsilon 2, accessory subunit",1,1
9093,DNAJA3,DnaJ heat shock protein family (Hsp40) member A3,1,1
22887,FOXJ3,forkhead box J3,1,1
6050,RNH1,ribonuclease/angiogenin inhibitor 1,1,1
5889,RAD51C,RAD51 paralog C,1,1
2042,EPHA3,EPH receptor A3,1,1
5583,PRKCH,protein kinase C eta,1,1
2523,FUT1,fucosyltransferase 1 (H blood group),1,1
154,ADRB2,adrenoceptor beta 2,1,1
2553,GABPB1,"GA binding protein transcription factor, beta subunit 1",1,1
1950,EGF,epidermal growth factor,1,1
9928,KIF14,kinesin family member 14,1,1
2115,ETV1,ets variant 1,1,1
1452,CSNK1A1,casein kinase 1 alpha 1,1,1
9448,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,1,1
2745,GLRX,glutaredoxin,1,1
5777,PTPN6,"protein tyrosine phosphatase, non-receptor type 6",1,1
10898,CPSF4,cleavage and polyadenylation specific factor 4,1,1
9170,LPAR2,lysophosphatidic acid receptor 2,1,1
1677,DFFB,"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)",1,1
23443,SLC35A3,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3",1,1
10013,HDAC6,histone deacetylase 6,1,1
2736,GLI2,GLI family zinc finger 2,1,1
1029,CDKN2A,cyclin-dependent kinase inhibitor 2A,1,1
1870,E2F2,E2F transcription factor 2,1,1
1021,CDK6,cyclin-dependent kinase 6,1,1
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,1,1
840,CASP7,caspase 7,1,1
10318,TNIP1,TNFAIP3 interacting protein 1,1,1
7015,TERT,telomerase reverse transcriptase,1,1
5788,PTPRC,"protein tyrosine phosphatase, receptor type C",1,1
7048,TGFBR2,transforming growth factor beta receptor II,1,1
4775,NFATC3,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3",1,1
5880,RAC2,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",1,1
9533,POLR1C,polymerase (RNA) I polypeptide C,1,1
4791,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),1,1
6850,SYK,spleen tyrosine kinase,1,1
8573,CASK,calcium/calmodulin-dependent serine protein kinase (MAGUK family),1,1
8202,NCOA3,nuclear receptor coactivator 3,1,1
5715,PSMD9,"proteasome 26S subunit, non-ATPase 9",1,1
5627,PROS1,protein S (alpha),1,1
22794,CASC3,cancer susceptibility candidate 3,1,1
4582,MUC1,"mucin 1, cell surface associated",1,1
7982,ST7,suppression of tumorigenicity 7,1,1
4931,NVL,nuclear VCP-like,1,1
4208,MEF2C,myocyte enhancer factor 2C,1,1
11261,CHP1,calcineurin like EF-hand protein 1,1,1
8091,HMGA2,high mobility group AT-hook 2,1,1
835,CASP2,caspase 2,1,1
51599,LSR,lipolysis stimulated lipoprotein receptor,1,1
10892,MALT1,MALT1 paracaspase,1,1
9519,TBPL1,TATA-box binding protein like 1,1,1
1500,CTNND1,catenin delta 1,1,1
57019,CIAPIN1,cytokine induced apoptosis inhibitor 1,1,1
581,BAX,BCL2-associated X protein,1,1
5468,PPARG,peroxisome proliferator activated receptor gamma,1,1
6709,SPTAN1,"spectrin alpha, non-erythrocytic 1",1,1
1981,EIF4G1,"eukaryotic translation initiation factor 4 gamma, 1",1,1
10493,VAT1,vesicle amine transport 1,1,1
23499,MACF1,microtubule-actin crosslinking factor 1,1,1
142,PARP1,poly(ADP-ribose) polymerase 1,1,1
2222,FDFT1,farnesyl-diphosphate farnesyltransferase 1,1,1
3312,HSPA8,heat shock protein family A (Hsp70) member 8,1,1
9124,PDLIM1,PDZ and LIM domain 1,1,1
1983,EIF5,eukaryotic translation initiation factor 5,1,1
595,CCND1,cyclin D1,1,1
54499,TMCO1,transmembrane and coiled-coil domains 1,1,1
5018,OXA1L,oxidase (cytochrome c) assembly 1-like,1,1
998,CDC42,cell division cycle 42,1,1
1831,TSC22D3,TSC22 domain family member 3,1,1
5747,PTK2,protein tyrosine kinase 2,1,1
128,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",1,1
7905,REEP5,receptor accessory protein 5,1,1
1848,DUSP6,dual specificity phosphatase 6,1,1
3122,HLA-DRA,"major histocompatibility complex, class II, DR alpha",1,1
51382,ATP6V1D,"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D",1,1
54205,CYCS,"cytochrome c, somatic",1,1
831,CAST,calpastatin,1,1
3964,LGALS8,"lectin, galactoside-binding, soluble, 8",1,1
8678,BECN1,"beclin 1, autophagy related",1,1
501,ALDH7A1,aldehyde dehydrogenase 7 family member A1,1,1
6774,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),1,1
10049,DNAJB6,DnaJ heat shock protein family (Hsp40) member B6,1,1
50813,COPS7A,COP9 signalosome subunit 7A,1,1
5696,PSMB8,proteasome subunit beta 8,1,1
7511,XPNPEP1,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble",1,1
5900,RALGDS,ral guanine nucleotide dissociation stimulator,1,1
11151,CORO1A,coronin 1A,1,1
51031,GLOD4,glyoxalase domain containing 4,1,1
1738,DLD,dihydrolipoamide dehydrogenase,1,1
7866,IFRD2,interferon-related developmental regulator 2,1,1
7105,TSPAN6,tetraspanin 6,1,1
1027,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1,1
9128,PRPF4,pre-mRNA processing factor 4,1,1
1534,CYB561,cytochrome b561,1,1
4125,MAN2B1,mannosidase alpha class 2B member 1,1,1
79143,MBOAT7,membrane bound O-acyltransferase domain containing 7,1,1
2353,FOS,FBJ murine osteosarcoma viral oncogene homolog,1,1
84617,TUBB6,tubulin beta 6 class V,1,1
873,CBR1,carbonyl reductase 1,1,1
10227,MFSD10,major facilitator superfamily domain containing 10,1,1
10174,SORBS3,sorbin and SH3 domain containing 3,1,1
9126,SMC3,structural maintenance of chromosomes 3,1,1
2810,SFN,stratifin,1,1
2063,NR2F6,nuclear receptor subfamily 2 group F member 6,1,1
7106,TSPAN4,tetraspanin 4,1,1
4616,GADD45B,growth arrest and DNA damage inducible beta,1,1
11168,PSIP1,PC4 and SFRS1 interacting protein 1,1,1
3551,IKBKB,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",1,1
572,BAD,BCL2 associated agonist of cell death,1,1
6813,STXBP2,syntaxin binding protein 2,1,1
10057,ABCC5,ATP binding cassette subfamily C member 5,1,1
11004,KIF2C,kinesin family member 2C,1,1
2887,GRB10,growth factor receptor bound protein 10,1,1
9181,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,1,1
9212,AURKB,aurora kinase B,1,1
8569,MKNK1,MAP kinase interacting serine/threonine kinase 1,1,1
6119,RPA3,replication protein A3,1,1
5873,RAB27A,"RAB27A, member RAS oncogene family",1,1
50810,HDGFRP3,"hepatoma-derived growth factor, related protein 3",1,1
2954,GSTZ1,glutathione S-transferase zeta 1,1,1
23212,RRS1,ribosome biogenesis regulator homolog,1,1
8726,EED,embryonic ectoderm development,1,1
2770,GNAI1,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1",1,1
58497,PRUNE,prune exopolyphosphatase,1,1
2048,EPHB2,EPH receptor B2,1,1
2625,GATA3,GATA binding protein 3,1,1
39,ACAT2,acetyl-CoA acetyltransferase 2,1,1
5058,PAK1,p21 protein (Cdc42/Rac)-activated kinase 1,1,1
1070,CETN3,centrin 3,1,1
868,CBLB,"Cbl proto-oncogene B, E3 ubiquitin protein ligase",1,1
2624,GATA2,GATA binding protein 2,1,1
7043,TGFB3,transforming growth factor beta 3,1,1
2920,CXCL2,chemokine (C-X-C motif) ligand 2,1,1
85236,HIST1H2BK,"histone cluster 1, H2bk",1,1
310,ANXA7,annexin A7,1,1
6696,SPP1,secreted phosphoprotein 1,1,1
22827,PUF60,poly(U) binding splicing factor 60KDa,1,1
8837,CFLAR,CASP8 and FADD like apoptosis regulator,1,1
5588,PRKCQ,protein kinase C theta,1,1
5603,MAPK13,mitogen-activated protein kinase 13,1,1
2534,FYN,"FYN proto-oncogene, Src family tyrosine kinase",1,1
116832,RPL39L,ribosomal protein L39 like,1,1
5321,PLA2G4A,phospholipase A2 group IVA,1,1
8444,DYRK3,dual specificity tyrosine-(Y)-phosphorylation regulated kinase 3,1,1
4200,ME2,"malic enzyme 2, NAD(+)-dependent, mitochondrial",1,1
47,ACLY,ATP citrate lyase,1,1
11200,CHEK2,checkpoint kinase 2,1,1
2852,GPER1,G protein-coupled estrogen receptor 1,1,1
10362,HMG20B,high mobility group 20B,1,1
4067,LYN,"LYN proto-oncogene, Src family tyrosine kinase",1,1
2886,GRB7,growth factor receptor bound protein 7,1,1
51635,DHRS7,dehydrogenase/reductase (SDR family) member 7,1,1
7168,TPM1,tropomyosin 1 (alpha),1,1
3308,HSPA4,heat shock protein family A (Hsp70) member 4,1,1
10962,MLLT11,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11",1,1
1022,CDK7,cyclin-dependent kinase 7,1,1
8480,RAE1,ribonucleic acid export 1,1,1
652,BMP4,bone morphogenetic protein 4,1,1
622,BDH1,"3-hydroxybutyrate dehydrogenase, type 1",1,1
637,BID,BH3 interacting domain death agonist,1,1
644,BLVRA,biliverdin reductase A,1,1
23658,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated",1,1
10190,TXNDC9,thioredoxin domain containing 9,1,1
9112,MTA1,metastasis associated 1,1,1
7852,CXCR4,chemokine (C-X-C motif) receptor 4,1,1
1282,COL4A1,collagen type IV alpha 1,1,1
26001,RNF167,ring finger protein 167,1,1
147179,WIPF2,WAS/WASL interacting protein family member 2,1,1
23061,TBC1D9B,TBC1 domain family member 9B,1,1
9289,ADGRG1,adhesion G protein-coupled receptor G1,1,1
90861,HN1L,hematological and neurological expressed 1-like,1,1
57178,ZMIZ1,"zinc finger, MIZ-type containing 1",1,1
23244,PDS5A,PDS5 cohesin associated factor A,1,1
3486,IGFBP3,insulin like growth factor binding protein 3,1,1
23039,XPO7,exportin 7,1,1
1399,CRKL,v-crk avian sarcoma virus CT10 oncogene homolog-like,1,1
25839,COG4,component of oligomeric golgi complex 4,1,1
94239,H2AFV,H2A histone family member V,1,1
23014,FBXO21,F-box protein 21,1,1
27032,ATP2C1,"ATPase, Ca++ transporting, type 2C, member 1",1,1
27346,TMEM97,transmembrane protein 97,1,1
23512,SUZ12,SUZ12 polycomb repressive complex 2 subunit,1,1
200081,TXLNA,taxilin alpha,1,1
7027,TFDP1,transcription factor Dp-1,1,1
9686,VGLL4,vestigial like family member 4,1,1
89910,UBE3B,ubiquitin protein ligase E3B,1,1
26128,KIF1BP,KIF1 binding protein,1,1
200734,SPRED2,"sprouty-related, EVH1 domain containing 2",1,1
23522,KAT6B,K(lysine) acetyltransferase 6B,1,1
23131,GPATCH8,G-patch domain containing 8,1,1
84890,ADO,2-aminoethanethiol (cysteamine) dioxygenase,1,1
23200,ATP11B,"ATPase, class VI, type 11B",1,1
26036,ZNF451,zinc finger protein 451,1,1
23029,RBM34,RNA binding motif protein 34,1,1
84159,ARID5B,AT-rich interaction domain 5B,1,1
1123,CHN1,chimerin 1,1,1
93487,MAPK1IP1L,mitogen-activated protein kinase 1 interacting protein 1-like,1,1
54505,DHX29,DEAH-box helicase 29,1,1
23338,JADE2,jade family PHD finger 2,1,1
25976,TIPARP,TCDD-inducible poly(ADP-ribose) polymerase,1,1
55818,KDM3A,lysine (K)-specific demethylase 3A,1,1
5096,PCCB,propionyl-CoA carboxylase beta subunit,1,1
9842,PLEKHM1,pleckstrin homology and RUN domain containing M1,1,1
23210,JMJD6,jumonji domain containing 6,1,1
30849,PIK3R4,phosphoinositide-3-kinase regulatory subunit 4,1,1
23271,CAMSAP2,calmodulin regulated spectrin associated protein family member 2,1,1
23325,KIAA1033,KIAA1033,1,1
6509,SLC1A4,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4",1,1
10973,ASCC3,activating signal cointegrator 1 complex subunit 3,1,1
91137,SLC25A46,solute carrier family 25 member 46,1,1
23076,RRP1B,ribosomal RNA processing 1B,1,1
8312,AXIN1,axin 1,1,1
23142,DCUN1D4,defective in cullin neddylation 1 domain containing 4,1,1
8550,MAPKAPK5,mitogen-activated protein kinase-activated protein kinase 5,1,1
25966,C2CD2,C2 calcium-dependent domain containing 2,1,1
23335,WDR7,WD repeat domain 7,1,1
6832,SUPV3L1,Suv3 like RNA helicase,1,1
23097,CDK19,cyclin-dependent kinase 19,1,1
57215,THAP11,THAP domain containing 11,1,1
9847,C2CD5,C2 calcium-dependent domain containing 5,1,1
5438,POLR2I,"polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa",1,1
5986,RFNG,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,1,1
22934,RPIA,ribose 5-phosphate isomerase A,1,1
11011,TLK2,tousled like kinase 2,1,1
7074,TIAM1,T-cell lymphoma invasion and metastasis 1,1,1
3206,HOXA10,homeobox A10,1,1
91949,COG7,component of oligomeric golgi complex 7,1,1
148022,TICAM1,toll like receptor adaptor molecule 1,1,1
55958,KLHL9,kelch like family member 9,1,1
23161,SNX13,sorting nexin 13,1,1
6714,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",1,1
81544,GDPD5,glycerophosphodiester phosphodiesterase domain containing 5,1,1
5331,PLCB3,phospholipase C beta 3,1,1
6909,TBX2,T-box 2,1,1
323,APBB2,amyloid beta precursor protein binding family B member 2,1,1
23149,FCHO1,FCH domain only 1,1,1
388650,FAM69A,family with sequence similarity 69 member A,1,1
427,ASAH1,N-acylsphingosine amidohydrolase (acid ceramidase) 1,1,1
6597,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",1,1
6657,SOX2,SRY-box 2,1,1
3202,HOXA5,homeobox A5,1,1
375346,TMEM110,transmembrane protein 110,1,1
27109,ATP5S,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)",1,1
93594,TBC1D31,TBC1 domain family member 31,1,1
4793,NFKBIB,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta",1,1
2017,CTTN,cortactin,1,1
10038,PARP2,poly(ADP-ribose) polymerase 2,1,1
8574,AKR7A2,"aldo-keto reductase family 7, member A2",1,1
30,ACAA1,acetyl-CoA acyltransferase 1,1,1
25803,SPDEF,SAM pointed domain containing ETS transcription factor,1,1
5898,RALA,v-ral simian leukemia viral oncogene homolog A (ras related),1,1
2113,ETS1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,1,1
891,CCNB1,cyclin B1,1,1
7690,ZNF131,zinc finger protein 131,1,1
9637,FEZ2,fasciculation and elongation protein zeta 2,1,1
50814,NSDHL,NAD(P) dependent steroid dehydrogenase-like,1,1
1759,DNM1,dynamin 1,1,1
29978,UBQLN2,ubiquilin 2,1,1
23139,MAST2,microtubule associated serine/threonine kinase 2,1,1
23321,TRIM2,tripartite motif containing 2,1,1
3508,IGHMBP2,immunoglobulin mu binding protein 2,1,1
2908,NR3C1,nuclear receptor subfamily 3 group C member 1,1,1
23368,PPP1R13B,protein phosphatase 1 regulatory subunit 13B,1,1
6347,CCL2,chemokine (C-C motif) ligand 2,1,1
2064,ERBB2,erb-b2 receptor tyrosine kinase 2,1,1
23223,RRP12,ribosomal RNA processing 12 homolog,1,1
9455,HOMER2,homer scaffolding protein 2,1,1
7416,VDAC1,voltage dependent anion channel 1,1,1
9709,HERPUD1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",1,1
2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,1,1
3108,HLA-DMA,"major histocompatibility complex, class II, DM alpha",1,1
3416,IDE,insulin degrading enzyme,1,1
51335,NGRN,"neugrin, neurite outgrowth associated",1,1
55748,CNDP2,CNDP dipeptidase 2 (metallopeptidase M20 family),1,1
56889,TM9SF3,transmembrane 9 superfamily member 3,1,1
55256,ADI1,acireductone dioxygenase 1,1,1
11031,RAB31,"RAB31, member RAS oncogene family",1,1
23585,TMEM50A,transmembrane protein 50A,1,1
51495,HACD3,3-hydroxyacyl-CoA dehydratase 3,1,1
10652,YKT6,YKT6 v-SNARE homolog (S. cerevisiae),1,1
58533,SNX6,sorting nexin 6,1,1
28969,BZW2,basic leucine zipper and W2 domains 2,1,1
51465,UBE2J1,"ubiquitin conjugating enzyme E2, J1",1,1
51466,EVL,Enah/Vasp-like,1,1
25825,BACE2,beta-site APP-cleaving enzyme 2,1,1
4282,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor),1,1
55011,PIH1D1,PIH1 domain containing 1,1,1
51719,CAB39,calcium binding protein 39,1,1
55699,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",1,1
1829,DSG2,desmoglein 2,1,1
23588,KLHDC2,kelch domain containing 2,1,1
9531,BAG3,BCL2 associated athanogene 3,1,1
10695,CNPY3,canopy FGF signaling regulator 3,1,1
51056,LAP3,leucine aminopeptidase 3,1,1
10273,STUB1,"STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase",1,1
51070,NOSIP,nitric oxide synthase interacting protein,1,1
58478,ENOPH1,enolase-phosphatase 1,1,1
51170,HSD17B11,hydroxysteroid (17-beta) dehydrogenase 11,1,1
58472,SQRDL,sulfide quinone reductase-like (yeast),1,1
51116,MRPS2,mitochondrial ribosomal protein S2,1,1
79902,NUP85,nucleoporin 85kDa,1,1
51024,FIS1,"fission, mitochondrial 1",1,1
51203,NUSAP1,nucleolar and spindle associated protein 1,1,1
51021,MRPS16,mitochondrial ribosomal protein S16,1,1
51569,UFM1,ubiquitin-fold modifier 1,1,1
64943,NT5DC2,5'-nucleotidase domain containing 2,1,1
26993,AKAP8L,A-kinase anchoring protein 8 like,1,1
56654,NPDC1,"neural proliferation, differentiation and control, 1",1,1
55608,ANKRD10,ankyrin repeat domain 10,1,1
51071,DERA,deoxyribose-phosphate aldolase (putative),1,1
54881,TEX10,testis expressed 10,1,1
55148,UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative),1,1
23670,TMEM2,transmembrane protein 2,1,1
57761,TRIB3,tribbles pseudokinase 3,1,1
55893,ZNF395,zinc finger protein 395,1,1
56997,ADCK3,aarF domain containing kinase 3,1,1
51015,ISOC1,isochorismatase domain containing 1,1,1
80212,CCDC92,coiled-coil domain containing 92,1,1
51026,GOLT1B,golgi transport 1B,1,1
51282,SCAND1,SCAN domain containing 1,1,1
7376,NR1H2,nuclear receptor subfamily 1 group H member 2,1,1
25987,TSKU,"tsukushi, small leucine rich proteoglycan",1,1
64429,ZDHHC6,"zinc finger, DHHC-type containing 6",1,1
55111,PLEKHJ1,pleckstrin homology domain containing J1,1,1
51422,PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2,1,1
26520,TIMM9,translocase of inner mitochondrial membrane 9 homolog (yeast),1,1
27244,SESN1,sestrin 1,1,1
51053,GMNN,"geminin, DNA replication inhibitor",1,1
79174,CRELD2,cysteine rich with EGF like domains 2,1,1
53343,NUDT9,nudix hydrolase 9,1,1
55038,CDCA4,cell division cycle associated 4,1,1
29937,NENF,neudesin neurotrophic factor,1,1
64781,CERK,ceramide kinase,1,1
29103,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15,1,1
50865,HEBP1,heme binding protein 1,1,1
1788,DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1,1
54442,KCTD5,potassium channel tetramerization domain containing 5,1,1
30001,ERO1A,endoplasmic reticulum oxidoreductase alpha,1,1
51293,CD320,CD320 molecule,1,1
79947,DHDDS,dehydrodolichyl diphosphate synthase subunit,1,1
29082,CHMP4A,charged multivesicular body protein 4A,1,1
63874,ABHD4,abhydrolase domain containing 4,1,1
79600,TCTN1,tectonic family member 1,1,1
55127,HEATR1,HEAT repeat containing 1,1,1
55847,CISD1,CDGSH iron sulfur domain 1,1,1
6839,SUV39H1,suppressor of variegation 3-9 homolog 1,1,1
51160,VPS28,vacuolar protein sorting 28 homolog (S. cerevisiae),1,1
54512,EXOSC4,exosome component 4,1,1
64428,NARFL,nuclear prelamin A recognition factor-like,1,1
79643,CHMP6,charged multivesicular body protein 6,1,1
29763,PACSIN3,protein kinase C and casein kinase substrate in neurons 3,1,1
10112,KIF20A,kinesin family member 20A,1,1
29911,HOOK2,hook microtubule-tethering protein 2,1,1
54957,TXNL4B,thioredoxin like 4B,1,1
10451,VAV3,vav guanine nucleotide exchange factor 3,1,1
54733,SLC35F2,solute carrier family 35 member F2,1,1
56940,DUSP22,dual specificity phosphatase 22,1,1
10644,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,1,1
55012,PPP2R3C,"protein phosphatase 2 regulatory subunit B'', gamma",1,1
27242,TNFRSF21,tumor necrosis factor receptor superfamily member 21,1,1
79850,FAM57A,family with sequence similarity 57 member A,1,1
4851,NOTCH1,notch 1,1,1
55129,ANO10,anoctamin 10,1,1
11284,PNKP,polynucleotide kinase 3'-phosphatase,1,1
1906,EDN1,endothelin 1,1,1
60493,FASTKD5,FAST kinase domains 5,1,1
79006,METRN,"meteorin, glial cell differentiation regulator",1,1
8270,LAGE3,L antigen family member 3,1,1
5827,PXMP2,peroxisomal membrane protein 2,1,1
51005,AMDHD2,amidohydrolase domain containing 2,1,1
79170,PRR15L,proline rich 15 like,1,1
79187,FSD1,fibronectin type III and SPRY domain containing 1,1,1
29928,TIMM22,translocase of inner mitochondrial membrane 22 homolog (yeast),1,1
80204,FBXO11,F-box protein 11,1,1
64080,RBKS,ribokinase,1,1
79094,CHAC1,ChaC glutathione-specific gamma-glutamylcyclotransferase 1,1,1
4482,MSRA,methionine sulfoxide reductase A,1,1
55008,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,1,1
51001,MTERF3,mitochondrial transcription termination factor 3,1,1
23536,ADAT1,"adenosine deaminase, tRNA-specific 1",1,1
55033,FKBP14,FK506 binding protein 14,1,1
56924,PAK6,p21 protein (Cdc42/Rac)-activated kinase 6,1,1
5716,PSMD10,"proteasome 26S subunit, non-ATPase 10",1,1
26511,CHIC2,cysteine rich hydrophobic domain 2,1,1
55604,LRRC16A,leucine rich repeat containing 16A,1,1
80746,TSEN2,tRNA splicing endonuclease subunit 2,1,1
54807,ZNF586,zinc finger protein 586,1,1
80758,PRR7,proline rich 7 (synaptic),1,1
54438,GFOD1,glucose-fructose oxidoreductase domain containing 1,1,1
6676,SPAG4,sperm associated antigen 4,1,1
57192,MCOLN1,mucolipin 1,1,1
51385,ZNF589,zinc finger protein 589,1,1
11182,SLC2A6,"solute carrier family 2 (facilitated glucose transporter), member 6",1,1
63933,MCUR1,mitochondrial calcium uniporter regulator 1,1,1
54850,FBXL12,F-box and leucine-rich repeat protein 12,1,1
29916,SNX11,sorting nexin 11,1,1
55179,FAIM,Fas apoptotic inhibitory molecule,1,1
29083,GTPBP8,GTP-binding protein 8 (putative),1,1
7099,TLR4,toll like receptor 4,1,1
79961,DENND2D,DENN/MADD domain containing 2D,1,1
55825,PECR,peroxisomal trans-2-enoyl-CoA reductase,1,1
51742,ARID4B,AT-rich interaction domain 4B,1,1
10818,FRS2,fibroblast growth factor receptor substrate 2,1,1
81533,ITFG1,integrin alpha FG-GAP repeat containing 1,1,1
665,BNIP3L,BCL2/adenovirus E1B 19kDa interacting protein 3-like,1,1
10776,ARPP19,cAMP regulated phosphoprotein 19kDa,1,1
64422,ATG3,autophagy related 3,1,1
10813,UTP14A,UTP14A small subunit processome component,1,1
80349,WDR61,WD repeat domain 61,1,1
1978,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1,1,1
83743,GRWD1,glutamate-rich WD repeat containing 1,1,1
57406,ABHD6,abhydrolase domain containing 6,1,1
23410,SIRT3,sirtuin 3,1,1
8996,NOL3,nucleolar protein 3,1,1
55620,STAP2,signal transducing adaptor family member 2,1,1
23597,ACOT9,acyl-CoA thioesterase 9,1,1
124583,CANT1,calcium activated nucleotidase 1,1,1
